Adm_No,Subject,Marks,Percentage,Term
12252,Maths,54.1,59.6,Mid
5301,Maths,63.9,75.2,Final
6762,Maths,17.3,30.4,Mid
6855,Maths,39.4,36.7,Final
5506,Maths,40.2,40.7,Mid
13930,Maths,98.5,75.2,Final
9324,Maths,100.0,99.7,Mid
10771,Maths,46.8,40.2,Final
6554,Maths,78.0,71.2,Mid
4043,Maths,42.9,61.1,Final
11560,Maths,70.0,67.4,Mid
9010,Maths,65.2,48.7,Final
13483,Maths,98.1,85.6,Mid
7499,Maths,40.6,42.7,Final
6637,Maths,91.9,77.7,Mid
7363,Maths,99.8,84.4,Final
12,Maths,62.0,65.0,Mid
195,Maths,24.7,32.5,Final
2538,Maths,67.7,78.3,Mid
2843,Maths,86.1,85.6,Final
2230,Maths,35.4,35.4,Mid
3010,Maths,66.0,68.0,Final
7985,Maths,45.7,27.2,Mid
12944,Maths,80.4,97.7,Final
14210,Maths,94.3,92.0,Mid
2078,Maths,53.7,40.0,Final
13908,Maths,56.4,67.6,Mid
7846,Maths,38.9,38.7,Final
3868,Maths,68.8,70.2,Mid
13408,Maths,61.4,61.2,Final
4874,Maths,57.5,56.3,Mid
8636,Maths,42.1,43.0,Final
298,Maths,50.5,48.5,Mid
13096,Maths,40.7,42.1,Final
5857,Maths,73.5,88.2,Mid
9037,Maths,54.5,72.5,Final
1016,Maths,41.9,32.2,Mid
1385,Maths,46.3,51.2,Final
9590,Maths,73.0,79.0,Mid
8746,Maths,80.4,88.2,Final
2351,Maths,70.7,76.9,Mid
12709,Maths,85.5,88.1,Final
1270,Maths,54.8,46.1,Mid
1261,Maths,,57.3,Final
7702,Maths,62.8,67.5,Mid
8377,Maths,76.9,75.7,Final
4564,Maths,27.4,36.9,Mid
6898,Maths,74.6,77.4,Final
10603,Maths,57.1,55.4,Mid
13595,Maths,56.4,64.9,Final
5673,Maths,72.5,77.3,Mid
12624,Maths,72.8,72.1,Final
10402,Maths,68.3,61.3,Mid
5594,Maths,26.8,27.0,Final
11865,Maths,60.4,44.6,Mid
6156,Maths,36.8,35.5,Final
5544,Maths,86.6,76.2,Mid
7241,Maths,44.2,38.2,Final
4684,Maths,65.8,75.5,Mid
1882,Maths,69.6,68.4,Final
12489,Maths,79.7,77.0,Mid
8714,Maths,88.1,85.6,Final
10080,Maths,53.7,44.0,Mid
10745,Maths,47.1,42.1,Final
3810,Maths,26.5,28.4,Mid
5808,Maths,80.7,69.4,Final
4884,Maths,41.6,52.0,Mid
7207,Maths,65.9,73.9,Final
4156,Maths,81.2,81.4,Mid
4674,Maths,69.9,77.8,Final
12609,Maths,21.9,47.4,Mid
13747,Maths,43.6,55.5,Final
11672,Maths,74.5,69.6,Mid
14326,Maths,47.5,54.0,Final
13211,Maths,58.6,56.1,Mid
1410,Maths,49.3,65.0,Final
9887,Maths,56.6,44.4,Mid
12857,Maths,,37.7,Final
5198,Maths,67.1,82.1,Mid
7453,Maths,63.8,72.2,Final
8719,Maths,68.3,54.0,Mid
14860,Maths,38.3,51.1,Final
10853,Maths,80.3,76.1,Mid
2173,Maths,74.2,61.7,Final
13159,Maths,46.4,48.8,Mid
280,Maths,46.4,56.5,Final
11157,Maths,80.5,72.3,Mid
3978,Maths,72.4,67.0,Final
2670,Maths,67.4,68.1,Mid
11086,Maths,62.7,67.8,Final
14181,Maths,48.0,42.5,Mid
7826,Maths,82.2,83.7,Final
9944,Maths,33.5,45.3,Mid
3982,Maths,41.6,60.1,Final
4770,Maths,78.4,70.8,Mid
5248,Maths,96.0,90.1,Final
10554,Maths,78.0,77.8,Mid
4428,Maths,74.3,71.1,Final
13462,Maths,59.9,47.5,Mid
6136,Maths,58.1,58.5,Final
5574,Maths,35.1,46.4,Mid
4132,Maths,87.3,80.6,Final
9901,Maths,49.4,56.3,Mid
13732,Maths,100.0,100.0,Final
7190,Maths,69.5,82.6,Mid
14542,Maths,79.1,74.9,Final
10879,Maths,89.0,86.6,Mid
11088,Maths,92.7,86.5,Final
13668,Maths,61.6,69.1,Mid
4536,Maths,17.9,26.6,Final
2777,Maths,83.4,82.6,Mid
9312,Maths,57.1,42.3,Final
11181,Maths,42.6,40.0,Mid
12452,Maths,49.5,41.4,Final
12436,Maths,8.0,31.2,Mid
7698,Maths,90.5,77.1,Final
14630,Maths,26.8,46.9,Mid
8387,Maths,48.2,52.1,Final
663,Maths,75.8,76.8,Mid
8672,Maths,93.1,81.9,Final
8045,Maths,32.9,45.8,Mid
4219,Maths,82.9,87.7,Final
9616,Maths,64.0,42.2,Mid
5061,Maths,59.5,71.3,Final
10901,Maths,85.3,92.3,Mid
11368,Maths,42.9,41.2,Final
5875,Maths,87.1,83.6,Mid
5582,Maths,87.2,84.7,Final
12007,Maths,97.1,94.9,Mid
2015,Maths,55.2,49.9,Final
3790,Maths,92.8,83.0,Mid
12998,Maths,79.9,70.4,Final
10636,Maths,77.4,74.0,Mid
9104,Maths,74.2,83.1,Final
13649,Maths,35.8,38.4,Mid
7149,Maths,88.7,100.0,Final
7767,Maths,78.7,89.3,Mid
11406,Maths,10.5,17.9,Final
2365,Maths,52.3,63.3,Mid
14023,Maths,91.0,81.1,Final
3630,Maths,19.6,33.4,Mid
5920,Maths,39.1,48.7,Final
5676,Maths,77.9,55.2,Mid
11665,Maths,54.5,61.0,Final
8873,Maths,58.5,53.7,Mid
13622,Maths,62.3,66.9,Final
6639,Maths,66.5,74.5,Mid
4652,Maths,53.5,51.6,Final
610,Maths,36.1,27.3,Mid
7941,Maths,61.5,55.4,Final
10349,Maths,70.3,81.9,Mid
3867,Maths,34.1,47.3,Final
372,Maths,11.7,33.1,Mid
6999,Maths,33.3,33.2,Final
616,Maths,48.1,39.5,Mid
6912,Maths,67.2,72.6,Final
6011,Maths,85.1,85.4,Mid
2254,Maths,100.0,86.5,Final
4943,Maths,84.5,69.1,Mid
12331,Maths,33.0,49.0,Final
865,Maths,49.4,52.1,Mid
1269,Maths,49.8,41.0,Final
7455,Maths,73.4,73.1,Mid
13667,Maths,61.4,66.9,Final
8977,Maths,74.3,61.4,Mid
4572,Maths,75.9,62.9,Final
12371,Maths,70.3,88.4,Mid
5230,Maths,69.0,68.9,Final
2238,Maths,96.2,78.4,Mid
4055,Maths,28.1,40.5,Final
13088,Maths,95.0,87.3,Mid
936,Maths,96.2,83.6,Final
12173,Maths,64.8,55.9,Mid
6395,Maths,33.7,32.8,Final
7892,Maths,54.4,57.1,Mid
10531,Maths,74.5,64.3,Final
13957,Maths,46.5,42.6,Mid
326,Maths,26.4,46.2,Final
9727,Maths,89.3,94.2,Mid
11673,Maths,67.8,57.6,Final
7775,Maths,98.2,92.9,Mid
3862,Maths,83.2,64.2,Final
1986,Maths,60.8,54.1,Mid
14253,Maths,19.2,50.5,Final
4933,Maths,36.5,27.8,Mid
4604,Maths,73.1,59.1,Final
2779,Maths,100.0,90.5,Mid
14408,Maths,70.6,76.2,Final
9463,Maths,34.0,44.0,Mid
8833,Maths,55.5,64.4,Final
14167,Maths,59.0,44.9,Mid
12896,Maths,53.9,50.5,Final
7755,Maths,42.1,45.7,Mid
14247,Maths,77.1,89.0,Final
4079,Maths,23.1,30.7,Mid
12854,Maths,65.7,75.2,Final
1368,Maths,21.9,29.1,Mid
4043,Maths,42.9,61.1,Final
14390,Maths,33.0,47.0,Mid
14042,Maths,61.2,56.1,Final
2576,Maths,76.9,77.3,Mid
6755,Maths,66.0,54.7,Final
11796,Maths,47.5,47.1,Mid
1582,Maths,68.2,69.0,Final
1987,Maths,57.5,43.4,Mid
2241,Maths,55.2,48.5,Final
3967,Maths,24.6,41.5,Mid
10298,Maths,51.3,38.6,Final
7605,Maths,90.8,69.3,Mid
8321,Maths,76.8,80.4,Final
5969,Maths,51.8,40.9,Mid
12994,Maths,89.0,86.5,Final
12189,Maths,59.2,66.9,Mid
9044,Maths,50.8,41.9,Final
7494,Maths,78.5,74.9,Mid
4104,Maths,57.2,46.3,Final
2077,Maths,59.4,63.8,Mid
5232,Maths,99.4,86.9,Final
2995,Maths,85.0,76.8,Mid
3745,Maths,43.5,55.2,Final
14467,Maths,52.8,48.6,Mid
14524,Maths,86.2,82.1,Final
13987,Maths,65.2,75.8,Mid
10949,Maths,44.9,48.0,Final
5595,Maths,65.3,55.8,Mid
7532,Maths,23.0,35.7,Final
7372,Maths,67.1,55.4,Mid
14548,Maths,58.9,71.2,Final
1645,Maths,90.6,66.9,Mid
12564,Maths,77.3,78.2,Final
3145,Maths,64.9,78.2,Mid
13991,Maths,73.3,80.9,Final
14084,Maths,80.9,100.0,Mid
243,Maths,85.1,64.0,Final
4086,Maths,47.8,70.7,Mid
7955,Maths,60.9,76.3,Final
7270,Maths,35.8,35.6,Mid
7131,Maths,91.5,75.0,Final
6829,Maths,74.5,86.6,Mid
8363,Maths,81.0,80.2,Final
8845,Maths,100.0,100.0,Mid
14221,Maths,69.0,73.1,Final
6332,Maths,89.9,94.9,Mid
3513,Maths,50.6,61.1,Final
13398,Maths,58.8,57.9,Mid
1500,Maths,82.3,78.7,Final
10292,Maths,64.6,59.0,Mid
2159,Maths,96.8,81.5,Final
10165,Maths,58.8,66.0,Mid
12118,Maths,72.4,80.6,Final
5163,Maths,71.4,70.6,Mid
10451,Maths,48.0,49.2,Final
4040,Maths,45.9,54.6,Mid
2036,Maths,57.6,46.7,Final
11464,Maths,68.9,71.3,Mid
7978,Maths,37.8,52.6,Final
858,Maths,81.7,79.5,Mid
3824,Maths,72.5,80.5,Final
6771,Maths,57.4,66.0,Mid
9242,Maths,48.6,58.2,Final
12183,Maths,75.0,72.5,Mid
299,Maths,86.0,75.1,Final
7245,Maths,45.9,42.0,Mid
924,Maths,98.4,87.1,Final
4233,Maths,90.7,80.4,Mid
13332,Maths,79.0,80.2,Final
14776,Maths,95.7,83.8,Mid
4307,Maths,61.3,40.9,Final
2800,Maths,66.1,65.6,Mid
13863,Maths,51.7,65.5,Final
6579,Maths,32.1,42.5,Mid
4876,Maths,48.8,41.5,Final
5327,Maths,59.2,64.1,Mid
12255,Maths,46.6,41.7,Final
6583,Maths,48.6,57.4,Mid
12238,Maths,85.8,84.3,Final
1803,Maths,60.4,77.9,Mid
10906,Maths,100.0,95.3,Final
13354,Maths,54.1,61.6,Mid
12699,Maths,77.1,66.4,Final
11046,Maths,32.5,36.4,Mid
2658,Maths,81.2,70.3,Final
12715,Maths,65.8,75.5,Mid
3347,Maths,44.0,51.9,Final
9664,Maths,47.5,37.7,Mid
2950,Maths,76.6,78.9,Final
942,Maths,36.1,42.5,Mid
1908,Maths,100.0,100.0,Final
4838,Maths,44.2,39.9,Mid
13681,Maths,52.7,56.2,Final
8106,Maths,75.1,82.5,Mid
1244,Maths,67.6,69.6,Final
5697,Maths,33.4,45.4,Mid
13544,Maths,23.9,26.2,Final
12616,Maths,100.0,100.0,Mid
1467,Maths,61.8,57.3,Final
14388,Maths,98.5,91.4,Mid
3958,Maths,99.3,95.4,Final
1967,Maths,79.7,89.7,Mid
376,Maths,41.5,40.8,Final
263,Maths,86.2,86.1,Mid
4363,Maths,100.0,92.6,Final
6503,Maths,41.5,31.0,Mid
11581,Maths,90.3,75.8,Final
11588,Maths,43.7,44.8,Mid
10137,Maths,61.7,58.4,Final
7834,Maths,25.6,30.2,Mid
1894,Maths,58.6,50.1,Final
14190,Maths,76.4,76.3,Mid
14988,Maths,57.2,68.2,Final
8107,Maths,40.5,44.0,Mid
11827,Maths,62.3,73.6,Final
1653,Maths,36.9,60.9,Mid
5541,Maths,68.2,76.6,Final
12334,Maths,55.6,42.8,Mid
3893,Maths,91.8,86.9,Final
600,Maths,90.7,100.0,Mid
4816,Maths,39.1,47.1,Final
1913,Maths,77.0,80.2,Mid
9485,Maths,80.9,74.3,Final
8793,Maths,97.1,92.9,Mid
8573,Maths,95.5,88.1,Final
4214,Maths,45.6,45.0,Mid
3638,Maths,68.0,54.9,Final
10356,Maths,70.6,59.5,Mid
12548,Maths,100.0,94.5,Final
9291,Maths,73.2,81.3,Mid
5600,Maths,57.5,70.5,Final
6449,Maths,67.9,59.3,Mid
14343,Maths,25.5,37.7,Final
8558,Maths,92.0,98.4,Mid
13946,Maths,62.1,65.2,Final
10763,Maths,56.8,42.2,Mid
11612,Maths,46.5,41.9,Final
13750,Maths,54.6,54.3,Mid
14313,Maths,61.9,64.9,Final
7383,Maths,62.4,61.4,Mid
10669,Maths,53.2,50.5,Final
8983,Maths,77.1,77.5,Mid
3570,Maths,68.9,74.6,Final
7708,Maths,25.2,35.8,Mid
747,Maths,62.1,62.7,Final
14703,Maths,46.7,54.5,Mid
8505,Maths,44.5,27.4,Final
4634,Maths,100.0,93.1,Mid
921,Maths,57.8,54.0,Final
9270,Maths,53.3,57.7,Mid
13779,Maths,63.1,61.4,Final
7009,Maths,91.3,93.7,Mid
11022,Maths,68.0,58.5,Final
2382,Maths,34.3,47.8,Mid
3619,Maths,61.7,63.5,Final
8990,Maths,32.4,41.9,Mid
4444,Maths,86.4,85.3,Final
273,Maths,52.3,58.8,Mid
11203,Maths,90.0,66.2,Final
13008,Maths,74.5,75.8,Mid
1774,Maths,44.9,66.9,Final
2548,Maths,82.7,94.9,Mid
3165,Maths,69.1,57.4,Final
4781,Maths,65.6,68.4,Mid
14415,Maths,70.1,83.8,Final
12910,Maths,77.6,69.1,Mid
14328,Maths,100.0,98.1,Final
947,Maths,61.1,63.6,Mid
14694,Maths,51.2,53.0,Final
10858,Maths,50.4,47.7,Mid
507,Maths,37.8,46.9,Final
13871,Maths,46.7,47.7,Mid
6720,Maths,33.4,42.4,Final
8436,Maths,59.0,68.6,Mid
8698,Maths,30.0,37.8,Final
12710,Maths,54.9,55.7,Mid
11351,Maths,60.3,54.2,Final
6361,Maths,83.0,76.2,Mid
7658,Maths,55.3,52.5,Final
3591,Maths,64.2,54.8,Mid
10065,Maths,66.8,69.5,Final
11986,Maths,50.1,47.6,Mid
1193,Maths,57.5,66.7,Final
12618,Maths,40.5,41.6,Mid
12938,Maths,16.7,35.5,Final
1465,Maths,92.5,68.2,Mid
391,Maths,27.5,43.5,Final
5616,Maths,51.1,52.1,Mid
12669,Maths,92.2,96.0,Final
11570,Maths,48.4,61.6,Mid
13030,Maths,52.9,41.5,Final
6107,Maths,48.3,51.8,Mid
13108,Maths,36.8,33.8,Final
8865,Maths,27.9,38.4,Mid
2561,Maths,52.9,51.6,Final
5868,Maths,95.2,90.1,Mid
1212,Maths,79.7,78.7,Final
9122,Maths,85.4,90.9,Mid
1540,Maths,39.9,39.7,Final
9105,Maths,75.3,91.7,Mid
644,Maths,77.0,83.8,Final
12715,Maths,65.8,75.5,Mid
8694,Maths,49.8,47.4,Final
8922,Maths,53.9,50.6,Mid
1284,Maths,63.9,60.5,Final
7681,Maths,41.9,55.4,Mid
10311,Maths,45.1,43.1,Final
14814,Maths,43.8,51.2,Mid
7346,Maths,82.6,85.0,Final
12745,Maths,100.0,99.2,Mid
14525,Maths,32.7,49.3,Final
4387,Maths,75.8,52.0,Mid
12029,Maths,58.7,50.1,Final
920,Maths,96.5,84.6,Mid
12243,Maths,82.7,73.9,Final
2340,Maths,17.4,20.8,Mid
14258,Maths,40.2,30.0,Final
8948,Maths,46.2,42.1,Mid
13947,Maths,100.0,95.5,Final
5931,Maths,54.7,62.1,Mid
5403,Maths,92.2,82.6,Final
5664,Maths,76.2,71.1,Mid
10062,Maths,100.0,100.0,Final
12665,Maths,85.8,94.6,Mid
5276,Maths,39.1,45.1,Final
508,Maths,33.3,38.5,Mid
1437,Maths,61.0,42.8,Final
10768,Maths,31.4,46.2,Mid
11619,Maths,43.3,48.5,Final
8751,Maths,46.1,48.2,Mid
7355,Maths,75.8,69.9,Final
11295,Maths,33.3,41.4,Mid
14596,Maths,55.4,65.9,Final
4517,Maths,91.4,84.8,Mid
13841,Maths,100.0,100.0,Final
3623,Maths,94.0,87.3,Mid
4400,Maths,88.4,73.3,Final
5038,Maths,99.1,93.3,Mid
12250,Maths,70.6,75.9,Final
8112,Maths,69.9,73.5,Mid
3716,Maths,82.9,80.5,Final
14878,Maths,34.2,41.0,Mid
7838,Maths,76.6,65.0,Final
1302,Maths,52.1,49.2,Mid
7371,Maths,70.6,63.8,Final
5186,Maths,59.0,68.4,Mid
2156,Maths,47.0,64.7,Final
6412,Maths,64.9,75.5,Mid
6366,Maths,56.3,60.5,Final
14116,Maths,49.7,54.6,Mid
13842,Maths,43.0,47.8,Final
693,Maths,60.8,41.9,Mid
12543,Maths,35.9,56.6,Final
1479,Maths,96.7,89.8,Mid
6397,Maths,33.2,38.5,Final
8449,Maths,54.3,52.7,Mid
10623,Maths,53.3,58.7,Final
442,Maths,62.7,61.8,Mid
10074,Maths,59.1,57.5,Final
2647,Maths,71.3,53.4,Mid
5210,Maths,74.0,61.3,Final
12013,Maths,79.6,73.0,Mid
6534,Maths,34.1,47.7,Final
4678,Maths,44.0,51.9,Mid
7212,Maths,95.6,100.0,Final
9928,Maths,80.2,81.3,Mid
11928,Maths,100.0,88.0,Final
2646,Maths,100.0,95.5,Mid
8211,Maths,44.1,40.3,Final
9317,Maths,75.5,72.6,Mid
12178,Maths,57.2,53.4,Final
10847,Maths,48.3,46.6,Mid
7934,Maths,42.0,36.1,Final
5477,Maths,37.2,45.4,Mid
13854,Maths,59.9,42.1,Final
7929,Maths,77.5,60.0,Mid
2081,Maths,71.0,74.5,Final
6090,Maths,35.7,50.6,Mid
7397,Maths,51.3,45.0,Final
9740,Maths,85.7,86.5,Mid
7798,Maths,32.6,55.3,Final
862,Maths,46.6,62.4,Mid
8347,Maths,81.1,70.0,Final
3495,Maths,68.4,70.2,Mid
905,Maths,42.6,59.4,Final
1270,Maths,54.8,46.1,Mid
405,Maths,74.9,76.2,Final
9036,Maths,20.2,27.5,Mid
9975,Maths,86.9,80.0,Final
9757,Maths,48.5,50.0,Mid
1185,Maths,72.5,74.0,Final
8939,Maths,20.0,31.8,Mid
1726,Maths,65.3,63.2,Final
11381,Maths,74.3,90.1,Mid
8463,Maths,79.2,78.1,Final
13058,Maths,48.0,52.6,Mid
5812,Maths,79.9,78.2,Final
5607,Maths,30.7,43.7,Mid
3957,Maths,41.0,52.8,Final
172,Maths,86.9,86.7,Mid
8466,Maths,34.2,34.2,Final
2307,Maths,85.3,88.1,Mid
9351,Maths,64.9,57.0,Final
9899,Maths,62.1,56.0,Mid
9964,Maths,63.3,61.3,Final
422,Maths,90.1,80.4,Mid
5541,Maths,68.2,76.6,Final
9402,Maths,84.3,91.4,Mid
14700,Maths,57.5,57.9,Final
14714,Maths,84.3,88.1,Mid
4676,Maths,76.1,76.6,Final
9083,Maths,41.5,33.7,Mid
13010,Maths,73.4,56.5,Final
11460,Maths,63.6,64.9,Mid
13169,Maths,54.3,47.5,Final
13410,Maths,77.7,89.9,Mid
6749,Maths,95.0,76.1,Final
6104,Maths,84.3,78.6,Mid
14358,Maths,93.5,100.0,Final
1474,Maths,97.2,89.9,Mid
3244,Maths,38.7,55.9,Final
12671,Maths,57.5,76.4,Mid
2182,Maths,81.7,67.4,Final
9642,Maths,33.4,43.2,Mid
3097,Maths,59.8,54.2,Final
6647,Maths,22.3,41.2,Mid
11449,Maths,61.4,67.8,Final
11349,Maths,41.4,18.3,Mid
9783,Maths,93.5,99.1,Final
5883,Maths,63.9,48.2,Mid
12432,Maths,80.2,84.0,Final
5983,Maths,66.2,79.2,Mid
12174,Maths,51.4,48.1,Final
5799,Maths,25.7,28.1,Mid
9628,Maths,58.7,75.2,Final
8416,Maths,63.8,59.6,Mid
8412,Maths,46.6,61.6,Final
12467,Maths,97.9,71.9,Mid
9847,Maths,86.3,91.5,Final
12721,Maths,63.6,59.7,Mid
8457,Maths,51.0,57.3,Final
9146,Maths,36.1,52.7,Mid
4525,Maths,58.6,72.5,Final
11926,Maths,68.0,87.1,Mid
6560,Maths,100.0,90.2,Final
7621,Maths,72.1,82.6,Mid
2775,Maths,70.2,74.4,Final
14533,Maths,73.4,75.4,Mid
5674,Maths,47.6,36.9,Final
3125,Maths,59.6,73.9,Mid
8672,Maths,93.1,81.9,Final
11707,Maths,54.1,51.0,Mid
1354,Maths,64.3,65.6,Final
11515,Maths,70.5,66.2,Mid
12071,Maths,57.5,62.0,Final
9082,Maths,48.0,45.8,Mid
3855,Maths,69.5,81.8,Final
8135,Maths,24.2,38.4,Mid
925,Maths,82.7,82.3,Final
2171,Maths,66.5,67.2,Mid
10095,Maths,85.4,84.5,Final
5507,Maths,62.4,55.4,Mid
13651,Maths,58.6,72.3,Final
13066,Maths,57.0,58.1,Mid
2396,Maths,67.5,72.6,Final
8221,Maths,100.0,100.0,Mid
8227,Maths,48.6,63.3,Final
11782,Maths,51.5,47.9,Mid
5516,Maths,71.9,66.0,Final
2671,Maths,65.5,67.2,Mid
3366,Maths,62.5,54.2,Final
589,Maths,47.3,39.5,Mid
11411,Maths,85.1,82.9,Final
3139,Maths,76.9,65.4,Mid
9096,Maths,27.9,40.2,Final
6664,Maths,79.4,88.3,Mid
4087,Maths,91.0,85.4,Final
10362,Maths,46.8,66.8,Mid
8532,Maths,20.1,32.8,Final
4271,Maths,55.1,52.2,Mid
6020,Maths,63.1,48.5,Final
9907,Maths,73.2,82.4,Mid
12885,Maths,100.0,100.0,Final
12739,Maths,91.0,82.8,Mid
557,Maths,20.3,27.3,Final
13448,Maths,74.4,69.1,Mid
8023,Maths,75.7,71.1,Final
11280,Maths,44.6,38.4,Mid
5453,Maths,63.4,64.2,Final
11459,Maths,46.9,52.8,Mid
3568,Maths,50.3,38.0,Final
10249,Maths,27.7,29.0,Mid
3900,Maths,100.0,100.0,Final
6478,Maths,36.5,41.8,Mid
7501,Maths,60.6,54.1,Final
1017,Maths,35.9,33.4,Mid
6471,Maths,61.3,55.2,Final
2063,Maths,63.4,72.0,Mid
9031,Maths,57.4,54.9,Final
9830,Maths,70.7,86.3,Mid
4322,Maths,,93.8,Final
3497,Maths,46.5,41.6,Mid
1814,Maths,85.1,78.4,Final
11672,Maths,74.5,69.6,Mid
6257,Maths,86.7,68.0,Final
14309,Maths,29.0,46.0,Mid
9644,Maths,100.0,82.5,Final
14337,Maths,67.4,50.1,Mid
2314,Maths,86.1,79.3,Final
9707,Maths,54.9,57.5,Mid
1232,Maths,72.3,78.1,Final
9838,Maths,45.6,43.7,Mid
5832,Maths,55.3,41.8,Final
3000,Maths,98.3,100.0,Mid
3441,Maths,88.7,62.0,Final
4057,Maths,63.6,68.2,Mid
306,Maths,37.1,45.8,Final
14348,Maths,92.4,90.9,Mid
11729,Maths,63.2,85.2,Final
9916,Maths,75.3,70.2,Mid
1690,Maths,79.2,84.5,Final
9710,Maths,100.0,92.4,Mid
13680,Maths,53.0,53.7,Final
3918,Maths,67.7,66.8,Mid
7081,Maths,59.1,62.4,Final
8612,Maths,65.5,71.6,Mid
2937,Maths,56.3,48.5,Final
3863,Maths,41.8,36.0,Mid
14507,Maths,43.5,45.8,Final
12422,Maths,65.3,78.6,Mid
14319,Maths,63.2,74.0,Final
9643,Maths,47.9,42.7,Mid
11289,Maths,89.5,98.9,Final
5650,Maths,100.0,96.4,Mid
3262,Maths,68.8,80.0,Final
9357,Maths,30.6,48.7,Mid
10062,Maths,100.0,100.0,Final
1820,Maths,44.8,46.7,Mid
10898,Maths,57.9,40.8,Final
11708,Maths,93.6,86.5,Mid
1343,Maths,45.4,56.4,Final
5561,Maths,55.8,64.7,Mid
2227,Maths,84.4,85.7,Final
1080,Maths,30.0,38.0,Mid
13467,Maths,72.1,58.5,Final
13984,Maths,27.3,49.1,Mid
4207,Maths,64.1,66.6,Final
6281,Maths,31.2,39.3,Mid
14568,Maths,73.6,72.1,Final
12756,Maths,70.1,72.0,Mid
10972,Maths,47.2,48.1,Final
10721,Maths,56.5,66.6,Mid
7236,Maths,41.6,46.8,Final
814,Maths,56.2,66.3,Mid
13561,Maths,100.0,80.7,Final
5090,Maths,98.2,79.1,Mid
2032,Maths,59.4,64.0,Final
8515,Maths,60.6,52.5,Mid
11162,Maths,78.7,80.9,Final
9096,Maths,27.9,40.2,Mid
9734,Maths,84.1,83.1,Final
14288,Maths,96.8,94.2,Mid
5912,Maths,99.8,97.3,Final
11696,Maths,100.0,91.6,Mid
2654,Maths,64.1,71.1,Final
10669,Maths,53.2,50.5,Mid
3341,Maths,90.9,88.7,Final
7877,Maths,22.8,42.2,Mid
12436,Maths,8.0,31.2,Final
1142,Maths,52.5,43.5,Mid
9042,Maths,36.2,37.8,Final
8559,Maths,39.4,49.4,Mid
2898,Maths,61.3,68.4,Final
9282,Maths,78.0,75.4,Mid
4042,Maths,85.5,84.6,Final
2039,Maths,74.4,84.4,Mid
11053,Maths,94.7,85.1,Final
4271,Maths,55.1,52.2,Mid
10047,Maths,62.2,69.8,Final
4684,Maths,65.8,75.5,Mid
495,Maths,43.1,60.2,Final
7117,Maths,86.0,81.9,Mid
13426,Maths,52.7,53.6,Final
11375,Maths,58.0,60.2,Mid
1785,Maths,83.4,86.8,Final
3511,Maths,68.4,79.0,Mid
3787,Maths,30.1,50.6,Final
5267,Maths,39.3,40.4,Mid
12323,Maths,91.6,87.2,Final
9191,Maths,86.9,79.4,Mid
5429,Maths,8.3,26.9,Final
6682,Maths,54.6,55.7,Mid
6894,Maths,39.2,50.7,Final
13326,Maths,55.2,46.4,Mid
12662,Maths,68.7,67.7,Final
14893,Maths,77.7,84.2,Mid
9644,Maths,100.0,82.5,Final
9944,Maths,33.5,45.3,Mid
10473,Maths,78.4,68.4,Final
12993,Maths,58.6,70.6,Mid
4659,Maths,38.7,44.3,Final
7083,Maths,100.0,99.0,Mid
11127,Maths,37.0,45.6,Final
6870,Maths,100.0,86.9,Mid
11927,Maths,68.2,85.2,Final
7608,Maths,68.8,71.8,Mid
7670,Maths,37.2,54.0,Final
11539,Maths,92.8,90.5,Mid
10066,Maths,64.7,58.4,Final
6220,Maths,71.4,67.9,Mid
4535,Maths,77.0,80.0,Final
11996,Maths,100.0,87.2,Mid
5980,Maths,67.1,80.2,Final
10172,Maths,54.8,37.7,Mid
8891,Maths,40.0,48.5,Final
1313,Maths,51.0,44.2,Mid
2963,Maths,64.2,53.8,Final
13852,Maths,38.5,31.2,Mid
2939,Maths,79.4,84.5,Final
12980,Maths,95.7,89.3,Mid
10493,Maths,85.6,66.2,Final
3198,Maths,98.5,88.8,Mid
5297,Maths,78.5,79.7,Final
7205,Maths,44.7,48.9,Mid
14746,Maths,67.0,76.1,Final
5731,Maths,31.6,29.7,Mid
13922,Maths,68.1,63.1,Final
127,Maths,40.3,52.7,Mid
5603,Maths,91.1,84.6,Final
1192,Maths,68.7,59.5,Mid
2640,Maths,51.6,76.7,Final
12582,Maths,87.7,88.5,Mid
12109,Maths,89.8,89.3,Final
1367,Maths,65.1,55.9,Mid
9212,Maths,71.5,69.1,Final
6454,Maths,45.8,58.2,Mid
14998,Maths,69.0,64.3,Final
6672,Maths,97.2,82.5,Mid
6684,Maths,67.8,61.0,Final
12272,Maths,58.3,74.4,Mid
12707,Maths,71.2,80.5,Final
4540,Maths,57.6,37.5,Mid
8877,Maths,72.8,72.2,Final
11822,Maths,26.2,36.8,Mid
2888,Maths,57.6,67.6,Final
14572,Maths,75.1,71.7,Mid
9655,Maths,91.6,79.7,Final
4087,Maths,91.0,85.4,Mid
2262,Maths,80.2,80.7,Final
4181,Maths,82.9,59.6,Mid
2842,Maths,67.9,77.6,Final
9960,Maths,51.3,46.1,Mid
12373,Maths,50.6,67.8,Final
6041,Maths,97.9,87.3,Mid
3561,Maths,90.3,76.8,Final
10305,Maths,78.1,85.3,Mid
13958,Maths,70.3,68.6,Final
4759,Maths,40.2,25.6,Mid
627,Maths,25.4,42.5,Final
12352,Maths,41.3,51.7,Mid
11607,Maths,39.0,46.5,Final
